holiday_date,holiday_name
2003-01-01,CONFRATERNIZACAO MUNDIAL
2003-03-03,CARNAVAL
2003-03-04,CARNAVAL
2003-04-18,SEXTA-FEIRA SANTA
2003-04-20,PASCOA
2003-04-21,TIRADENTES
2003-05-01,DIA DO TRABALHO
2003-06-19,CORPUS CHRISTI
2003-09-07,INDEPENDENCIA DO BRASIL
2003-10-12,NOSSA SENHORA APARECIDA
2003-11-02,FINADOS
2003-11-15,PROCLAMACAO DA REPUBLICA
2003-12-25,NATAL
2004-01-01,CONFRATERNIZACAO MUNDIAL
2004-02-23,CARNAVAL
2004-02-24,CARNAVAL
2004-04-09,SEXTA-FEIRA SANTA
2004-04-11,PASCOA
2004-04-21,TIRADENTES
2004-05-01,DIA DO TRABALHO
2004-06-10,CORPUS CHRISTI
2004-09-07,INDEPENDENCIA DO BRASIL
2004-10-12,NOSSA SENHORA APARECIDA
2004-11-02,FINADOS
2004-11-15,PROCLAMACAO DA REPUBLICA
2004-12-25,NATAL
2005-01-01,CONFRATERNIZACAO MUNDIAL
2005-02-07,CARNAVAL
2005-02-08,CARNAVAL
2005-03-25,SEXTA-FEIRA SANTA
2005-03-27,PASCOA
2005-04-21,TIRADENTES
2005-05-01,DIA DO TRABALHO
2005-05-26,CORPUS CHRISTI
2005-09-07,INDEPENDENCIA DO BRASIL
2005-10-12,NOSSA SENHORA APARECIDA
2005-11-02,FINADOS
2005-11-15,PROCLAMACAO DA REPUBLICA
2005-12-25,NATAL
2006-01-01,CONFRATERNIZACAO MUNDIAL
2006-02-27,CARNAVAL
2006-02-28,CARNAVAL
2006-04-14,SEXTA-FEIRA SANTA
2006-04-16,PASCOA
2006-04-21,TIRADENTES
2006-05-01,DIA DO TRABALHO
2006-06-15,CORPUS CHRISTI
2006-09-07,INDEPENDENCIA DO BRASIL
2006-10-12,NOSSA SENHORA APARECIDA
2006-11-02,FINADOS
2006-11-15,PROCLAMACAO DA REPUBLICA
2006-12-25,NATAL
2007-01-01,CONFRATERNIZACAO MUNDIAL
2007-02-19,CARNAVAL
2007-02-20,CARNAVAL
2007-04-06,SEXTA-FEIRA SANTA
2007-04-08,PASCOA
2007-04-21,TIRADENTES
2007-05-01,DIA DO TRABALHO
2007-06-07,CORPUS CHRISTI
2007-09-07,INDEPENDENCIA DO BRASIL
2007-10-12,NOSSA SENHORA APARECIDA
2007-11-02,FINADOS
2007-11-15,PROCLAMACAO DA REPUBLICA
2007-12-25,NATAL
2008-01-01,CONFRATERNIZACAO MUNDIAL
2008-02-04,CARNAVAL
2008-02-05,CARNAVAL
2008-03-21,SEXTA-FEIRA SANTA
2008-03-23,PASCOA
2008-04-21,TIRADENTES
2008-05-01,DIA DO TRABALHO
2008-05-22,CORPUS CHRISTI
2008-09-07,INDEPENDENCIA DO BRASIL
2008-10-12,NOSSA SENHORA APARECIDA
2008-11-02,FINADOS
2008-11-15,PROCLAMACAO DA REPUBLICA
2008-12-25,NATAL
2009-01-01,CONFRATERNIZACAO MUNDIAL
2009-02-23,CARNAVAL
2009-02-24,CARNAVAL
2009-04-10,SEXTA-FEIRA SANTA
2009-04-12,PASCOA
2009-04-21,TIRADENTES
2009-05-01,DIA DO TRABALHO
2009-06-11,CORPUS CHRISTI
2009-09-07,INDEPENDENCIA DO BRASIL
2009-10-12,NOSSA SENHORA APARECIDA
2009-11-02,FINADOS
2009-11-15,PROCLAMACAO DA REPUBLICA
2009-12-25,NATAL
2010-01-01,CONFRATERNIZACAO MUNDIAL
2010-02-15,CARNAVAL
2010-02-16,CARNAVAL
2010-04-02,SEXTA-FEIRA SANTA
2010-04-04,PASCOA
2010-04-21,TIRADENTES
2010-05-01,DIA DO TRABALHO
2010-06-03,CORPUS CHRISTI
2010-09-07,INDEPENDENCIA DO BRASIL
